"N225.Open","N225.High","N225.Low","N225.Close","N225.Volume","N225.Adjusted","Date"
35229.109375,35405.199219,35229.109375,35376.351563,0,35376.351563,"1989-10-09"
NA,NA,NA,NA,NA,NA,"1989-10-10"
35380.851563,35399.039063,35005.769531,35240.070313,0,35240.070313,"1989-10-11"
35219.53125,35219.53125,34795.050781,34795.050781,0,34795.050781,"1989-10-12"
34844.160156,35118.960938,34844.160156,35116.019531,0,35116.019531,"1989-10-13"
35075.621094,35075.621094,34460.871094,34468.691406,0,34468.691406,"1989-10-16"
34508.421875,35183.578125,34508.421875,34996.078125,0,34996.078125,"1989-10-17"
35005.488281,35152.039063,34991.671875,35107.558594,0,35107.558594,"1989-10-18"
35129.308594,35392.140625,35129.308594,35374.21875,0,35374.21875,"1989-10-19"
35418.589844,35611.378906,35418.589844,35486.378906,0,35486.378906,"1989-10-20"
35513.621094,35670.058594,35513.621094,35585.519531,0,35585.519531,"1989-10-23"
35609.421875,35651.160156,35449.261719,35526.550781,0,35526.550781,"1989-10-24"
35535.949219,35645.46875,35442.398438,35442.398438,0,35442.398438,"1989-10-25"
35451.941406,35697.109375,35451.941406,35678.488281,0,35678.488281,"1989-10-26"
35694.171875,35742.96875,35374.71875,35527.289063,0,35527.289063,"1989-10-27"
35523.171875,35523.171875,35335.820313,35417.441406,0,35417.441406,"1989-10-30"
35413.128906,35583.339844,35413.128906,35549.441406,0,35549.441406,"1989-10-31"
35545.03125,35640.371094,35453.210938,35564.429688,0,35564.429688,"1989-11-01"
35545.808594,35555.710938,35360.800781,35494.859375,0,35494.859375,"1989-11-02"
NA,NA,NA,NA,NA,NA,"1989-11-03"
35494.949219,35573.25,35411.460938,35434,0,35434,"1989-11-06"
35371.089844,35371.089844,35098.78125,35270.460938,0,35270.460938,"1989-11-07"
35319.351563,35628.609375,35319.351563,35595.589844,0,35595.589844,"1989-11-08"
35626.460938,35690.25,35466.628906,35657.421875,0,35657.421875,"1989-11-09"
35679.078125,35741.5,35595.488281,35663.199219,0,35663.199219,"1989-11-10"
35713.769531,35799.710938,35677.609375,35750.121094,0,35750.121094,"1989-11-13"
35725.53125,35775.988281,35696.71875,35768.640625,0,35768.640625,"1989-11-14"
35806.171875,35976.78125,35805.390625,35852.230469,0,35852.230469,"1989-11-15"
35855.269531,35953.160156,35833.121094,35876.339844,0,35876.339844,"1989-11-16"
35903.179688,36025.480469,35900.238281,35963.738281,0,35963.738281,"1989-11-17"
35962.859375,35974.910156,35882.019531,35893.578125,0,35893.578125,"1989-11-20"
35920.238281,36059.871094,35920.238281,36059.871094,0,36059.871094,"1989-11-21"
36097.988281,36387.648438,36097.988281,36286.921875,0,36286.921875,"1989-11-22"
NA,NA,NA,NA,NA,NA,"1989-11-23"
36304.75,36486.429688,36304.75,36484.46875,0,36484.46875,"1989-11-24"
36487.699219,36883.191406,36487.699219,36881.53125,0,36881.53125,"1989-11-27"
36892.800781,36987.160156,36825.578125,36985.300781,0,36985.300781,"1989-11-28"
36989.21875,37128.859375,36935.910156,37021.460938,0,37021.460938,"1989-11-29"
37034.390625,37268.789063,37019.210938,37268.789063,0,37268.789063,"1989-11-30"
37284.371094,37332.578125,37058.601563,37132.679688,0,37132.679688,"1989-12-01"
37134.929688,37312.589844,37124.449219,37303.871094,0,37303.871094,"1989-12-04"
37326.898438,37548.460938,37326.898438,37494.171875,0,37494.171875,"1989-12-05"
37453.011719,37654.289063,37299.359375,37654.289063,0,37654.289063,"1989-12-06"
37656.148438,37858.109375,37549.53125,37858.109375,0,37858.109375,"1989-12-07"
37864.378906,37880.160156,37624.789063,37724.058594,0,37724.058594,"1989-12-08"
37714.160156,37840.371094,37688,37752.671875,0,37752.671875,"1989-12-11"
37763.941406,37899.949219,37676.039063,37803.53125,0,37803.53125,"1989-12-12"
37830.871094,38062.421875,37830.871094,38062.421875,0,38062.421875,"1989-12-13"
38058.011719,38201.570313,37993.730469,38180.699219,0,38180.699219,"1989-12-14"
38180.789063,38272.910156,38063.109375,38271.039063,0,38271.039063,"1989-12-15"
38304.460938,38586.179688,38304.460938,38586.179688,0,38586.179688,"1989-12-18"
38559.53125,38559.53125,38250.46875,38439.101563,0,38439.101563,"1989-12-19"
38441.648438,38571.78125,38310.53125,38512,0,38512,"1989-12-20"
38522.78125,38539.640625,38195.980469,38215.480469,0,38215.480469,"1989-12-21"
38267.808594,38428.421875,37862.621094,38040.371094,0,38040.371094,"1989-12-22"
38059.871094,38466.628906,37905.140625,38423.621094,0,38423.621094,"1989-12-25"
38470.289063,38786.128906,38470.289063,38681.308594,0,38681.308594,"1989-12-26"
38708.960938,38884.289063,38708.960938,38801.628906,0,38801.628906,"1989-12-27"
38835.460938,38920.378906,38678.171875,38876.941406,0,38876.941406,"1989-12-28"
38913.121094,38957.441406,38827.710938,38915.871094,0,38915.871094,"1989-12-29"
NA,NA,NA,NA,NA,NA,"1990-01-01"
NA,NA,NA,NA,NA,NA,"1990-01-02"
NA,NA,NA,NA,NA,NA,"1990-01-03"
38921.648438,38950.769531,38705.140625,38712.878906,0,38712.878906,"1990-01-04"
38717.488281,38786.621094,38090.511719,38274.761719,0,38274.761719,"1990-01-05"
38331.628906,38564.230469,38121.101563,38294.960938,0,38294.960938,"1990-01-08"
38281.230469,38296.628906,37729.851563,37951.460938,0,37951.460938,"1990-01-09"
37927.628906,37927.628906,37460.289063,37696.511719,0,37696.511719,"1990-01-10"
37705.730469,38170.128906,37604.328125,38170.128906,0,38170.128906,"1990-01-11"
38129.539063,38129.539063,37516.769531,37516.769531,0,37516.769531,"1990-01-12"
NA,NA,NA,NA,NA,NA,"1990-01-15"
37469.410156,37469.410156,36657.96875,36850.359375,0,36850.359375,"1990-01-16"
36894.101563,37285.449219,36821.140625,36821.140625,0,36821.140625,"1990-01-17"
36833.5,37003.429688,36521.378906,36729.460938,0,36729.460938,"1990-01-18"
36703.570313,36839.671875,36365.171875,36836.539063,0,36836.539063,"1990-01-19"
36853.109375,37257.011719,36851.25,37257.011719,0,37257.011719,"1990-01-22"
37212.878906,37379.488281,37018.039063,37378.019531,0,37378.019531,"1990-01-23"
37396.351563,37462.839844,36683.269531,36778.980469,0,36778.980469,"1990-01-24"
36822.019531,37081.78125,36766.128906,36969.109375,0,36969.109375,"1990-01-25"
36977.738281,37088.070313,36845.71875,36874.070313,0,36874.070313,"1990-01-26"
36912.511719,37224.789063,36912.511719,37173.699219,0,37173.699219,"1990-01-29"
37210.078125,37336.109375,37192.230469,37215.671875,0,37215.671875,"1990-01-30"
37200.921875,37208.078125,36957.230469,37188.949219,0,37188.949219,"1990-01-31"
37242.03125,37332.191406,37124.890625,37206.421875,0,37206.421875,"1990-02-01"
37256.058594,37665.058594,37256.058594,37650.148438,0,37650.148438,"1990-02-02"
37676.839844,37732.269531,37583.441406,37631.410156,0,37631.410156,"1990-02-05"
37679.78125,37886.691406,37642.890625,37666.828125,0,37666.828125,"1990-02-06"
37684.390625,37692.929688,37255.671875,37301.871094,0,37301.871094,"1990-02-07"
37346.121094,37516.238281,37180.808594,37516.238281,0,37516.238281,"1990-02-08"
37509.070313,37509.070313,37192.878906,37288.140625,0,37288.140625,"1990-02-09"
NA,NA,NA,NA,NA,NA,"1990-02-12"
37319.53125,37350.929688,37093.988281,37107.03125,0,37107.03125,"1990-02-13"
37124.890625,37183.261719,37018.25,37155.890625,0,37155.890625,"1990-02-14"
