"NYA.Open","NYA.High","NYA.Low","NYA.Close","NYA.Volume","NYA.Adjusted","Date"
8207.05957,8210.25,8055.220215,8062.640137,5618630000,8062.640137,"2011-01-28"
8062.649902,8148.959961,8062.649902,8139.160156,4167160000,8139.160156,"2011-01-31"
8139.200195,8295.959961,8139.200195,8290.089844,5164500000,8290.089844,"2011-02-01"
8290.05957,8300.759766,8262.230469,8272.570313,4098260000,8272.570313,"2011-02-02"
8272.55957,8295.700195,8206.44043,8289.049805,4370990000,8289.049805,"2011-02-03"
8289.05957,8289.05957,8236.94043,8288.5,3925950000,8288.5,"2011-02-04"
8288.540039,8356.709961,8288.540039,8336.639648,3902270000,8336.639648,"2011-02-07"
8336.650391,8380.660156,8322,8379.849609,3881530000,8379.849609,"2011-02-08"
8379.849609,8379.849609,8308.240234,8343.990234,3922240000,8343.990234,"2011-02-09"
8343.94043,8345.120117,8269.049805,8337.129883,4184610000,8337.129883,"2011-02-10"
8337.129883,8386.429688,8292.94043,8374.889648,4219300000,8374.889648,"2011-02-11"
8374.889648,8409.879883,8368.660156,8405.150391,3567040000,8405.150391,"2011-02-14"
8405.150391,8405.150391,8367.349609,8383.669922,3926860000,8383.669922,"2011-02-15"
8383.759766,8457.849609,8383.759766,8453.759766,1966450000,8453.759766,"2011-02-16"
8453.75,8503.799805,8435.120117,8497.410156,1966450000,8497.410156,"2011-02-17"
8497.410156,8520.269531,8483.070313,8507.900391,1162310000,8507.900391,"2011-02-18"
8507.870117,8507.870117,8307.360352,8325.860352,1322780000,8325.860352,"2011-02-22"
8325.860352,8351.200195,8242.110352,8292.919922,1330340000,8292.919922,"2011-02-23"
8292.94043,8318.480469,8212.660156,8276.290039,1222900000,8276.290039,"2011-02-24"
8276.44043,8378.339844,8276.44043,8378.040039,3836030000,8378.040039,"2011-02-25"
8378.05957,8447.870117,8378.05957,8438.549805,1252850000,8438.549805,"2011-02-28"
8438.549805,8466,8314.679688,8315.849609,1180420000,8315.849609,"2011-03-01"
8315.820313,8367.280273,8302.19043,8338.759766,1.025e+09,8338.759766,"2011-03-02"
8338.759766,8470.349609,8338.759766,8465.450195,4340470000,8465.450195,"2011-03-03"
8465.450195,8467.69043,8361.879883,8413.049805,4223740000,8413.049805,"2011-03-04"
8413.049805,8455.509766,8305.700195,8337.019531,3964730000,8337.019531,"2011-03-07"
8337.019531,8417.139648,8301.610352,8394.040039,4531420000,8394.040039,"2011-03-08"
8394.040039,8400.349609,8341.570313,8379.44043,3709520000,8379.44043,"2011-03-09"
8379.44043,8379.44043,8195.929688,8200.070313,4723020000,8200.070313,"2011-03-10"
8200.070313,8270.679688,8164.419922,8248.530273,3740400000,8248.530273,"2011-03-11"
8248.530273,8248.530273,8124.040039,8193.959961,4050370000,8193.959961,"2011-03-14"
8193.959961,8193.959961,7933.819824,8092.109863,5201400000,8092.109863,"2011-03-15"
8092.109863,8092.109863,7873.299805,7929.870117,5.833e+09,7929.870117,"2011-03-16"
7929.870117,8091.660156,7929.870117,8064.859863,4134950000,8064.859863,"2011-03-17"
8064.859863,8161.169922,8064.859863,8116.399902,4685500000,8116.399902,"2011-03-18"
8116.399902,8260.429688,8116.399902,8256.360352,4223730000,8256.360352,"2011-03-21"
8256.360352,8265.709961,8220.830078,8228.410156,3576550000,8228.410156,"2011-03-22"
8228.410156,8266.169922,8171.330078,8248.830078,3842350000,8248.830078,"2011-03-23"
8248.830078,8321.799805,8241.709961,8311.610352,4223740000,8311.610352,"2011-03-24"
8311.610352,8359.320313,8301.44043,8321.780273,4223740000,8321.780273,"2011-03-25"
8321.780273,8358.009766,8296.509766,8296.519531,3215170000,8296.519531,"2011-03-28"
8296.519531,8345.379883,8258.969727,8345.379883,3482580000,8345.379883,"2011-03-29"
8345.379883,8432.169922,8345.379883,8416.69043,3809570000,8416.69043,"2011-03-30"
8416.69043,8429.330078,8395.889648,8404.980469,3566270000,8404.980469,"2011-03-31"
8404.980469,8492.860352,8404.980469,8469.339844,4223740000,8469.339844,"2011-04-01"
8469.339844,8503.80957,8460.55957,8482.410156,4223740000,8482.410156,"2011-04-04"
8482.410156,8514.700195,8453.490234,8488.389648,3852280000,8488.389648,"2011-04-05"
8488.389648,8530.660156,8484.389648,8508.230469,4223740000,8508.230469,"2011-04-06"
8508.230469,8528.240234,8454.570313,8489.330078,4005600000,8489.330078,"2011-04-07"
8489.330078,8545.780273,8451.139648,8483.94043,3582810000,8483.94043,"2011-04-08"
8483.94043,8515.120117,8422.900391,8445.769531,3478970000,8445.769531,"2011-04-11"
8445.769531,8445.769531,8331.019531,8360.459961,4275490000,8360.459961,"2011-04-12"
