"STOXX50E.Open","STOXX50E.High","STOXX50E.Low","STOXX50E.Close","STOXX50E.Volume","STOXX50E.Adjusted","Date"
4510.990234,4510.990234,4510.990234,4510.990234,0,4510.990234,"1999-12-14"
4482.189941,4482.189941,4482.189941,4482.189941,0,4482.189941,"1999-12-15"
4517.680176,4517.680176,4517.680176,4517.680176,0,4517.680176,"1999-12-16"
4538.22998,4538.22998,4538.22998,4538.22998,0,4538.22998,"1999-12-17"
4583.02002,4583.02002,4583.02002,4583.02002,0,4583.02002,"1999-12-20"
4566.870117,4566.870117,4566.870117,4566.870117,0,4566.870117,"1999-12-21"
4632.560059,4632.560059,4632.560059,4632.560059,0,4632.560059,"1999-12-22"
4752.959961,4752.959961,4752.959961,4752.959961,0,4752.959961,"1999-12-23"
4781.160156,4781.160156,4781.160156,4781.160156,0,4781.160156,"1999-12-24"
4785.169922,4785.169922,4785.169922,4785.169922,0,4785.169922,"1999-12-27"
4788.700195,4788.700195,4788.700195,4788.700195,0,4788.700195,"1999-12-28"
4807.009766,4807.009766,4807.009766,4807.009766,0,4807.009766,"1999-12-29"
4904.459961,4904.459961,4904.459961,4904.459961,0,4904.459961,"1999-12-30"
4904.459961,4904.459961,4904.459961,4904.459961,0,4904.459961,"1999-12-31"
4849.220215,4849.220215,4849.220215,4849.220215,0,4849.220215,"2000-01-03"
4657.830078,4657.830078,4657.830078,4657.830078,0,4657.830078,"2000-01-04"
4541.75,4541.75,4541.75,4541.75,0,4541.75,"2000-01-05"
4500.689941,4500.689941,4500.689941,4500.689941,0,4500.689941,"2000-01-06"
4648.27002,4648.27002,4648.27002,4648.27002,0,4648.27002,"2000-01-07"
4714.029785,4714.029785,4714.029785,4714.029785,0,4714.029785,"2000-01-10"
4671.5,4671.5,4671.5,4671.5,0,4671.5,"2000-01-11"
4649.299805,4649.299805,4649.299805,4649.299805,0,4649.299805,"2000-01-12"
4688.350098,4688.350098,4688.350098,4688.350098,0,4688.350098,"2000-01-13"
4829.359863,4829.359863,4829.359863,4829.359863,0,4829.359863,"2000-01-14"
4884.5,4884.5,4884.5,4884.5,0,4884.5,"2000-01-17"
4761,4761,4761,4761,0,4761,"2000-01-18"
4768.370117,4768.370117,4768.370117,4768.370117,0,4768.370117,"2000-01-19"
4778.709961,4778.709961,4778.709961,4778.709961,0,4778.709961,"2000-01-20"
4719.290039,4719.290039,4719.290039,4719.290039,0,4719.290039,"2000-01-21"
4718.759766,4718.759766,4718.759766,4718.759766,0,4718.759766,"2000-01-24"
4653.609863,4653.609863,4653.609863,4653.609863,0,4653.609863,"2000-01-25"
4721.029785,4721.029785,4721.029785,4721.029785,0,4721.029785,"2000-01-26"
4786.819824,4786.819824,4786.819824,4786.819824,0,4786.819824,"2000-01-27"
4781.939941,4781.939941,4781.939941,4781.939941,0,4781.939941,"2000-01-28"
4684.47998,4684.47998,4684.47998,4684.47998,0,4684.47998,"2000-01-31"
4792.040039,4792.040039,4792.040039,4792.040039,0,4792.040039,"2000-02-01"
4902.120117,4902.120117,4902.120117,4902.120117,0,4902.120117,"2000-02-02"
5046.120117,5046.120117,5046.120117,5046.120117,0,5046.120117,"2000-02-03"
5119.790039,5119.790039,5119.790039,5119.790039,0,5119.790039,"2000-02-04"
5041.080078,5041.080078,5041.080078,5041.080078,0,5041.080078,"2000-02-07"
5176.169922,5176.169922,5176.169922,5176.169922,0,5176.169922,"2000-02-08"
5191.790039,5191.790039,5191.790039,5191.790039,0,5191.790039,"2000-02-09"
5174.350098,5174.350098,5174.350098,5174.350098,0,5174.350098,"2000-02-10"
5195.669922,5195.669922,5195.669922,5195.669922,0,5195.669922,"2000-02-11"
5166.080078,5166.080078,5166.080078,5166.080078,0,5166.080078,"2000-02-14"
5043.330078,5043.330078,5043.330078,5043.330078,0,5043.330078,"2000-02-15"
5063.72998,5063.72998,5063.72998,5063.72998,0,5063.72998,"2000-02-16"
5114.470215,5114.470215,5114.470215,5114.470215,0,5114.470215,"2000-02-17"
5079.589844,5079.589844,5079.589844,5079.589844,0,5079.589844,"2000-02-18"
5033.330078,5033.330078,5033.330078,5033.330078,0,5033.330078,"2000-02-21"
5024.049805,5024.049805,5024.049805,5024.049805,0,5024.049805,"2000-02-22"
5086,5086,5086,5086,0,5086,"2000-02-23"
5117.410156,5117.410156,5117.410156,5117.410156,0,5117.410156,"2000-02-24"
5208.870117,5208.870117,5208.870117,5208.870117,0,5208.870117,"2000-02-25"
5126.330078,5126.330078,5126.330078,5126.330078,0,5126.330078,"2000-02-28"
5182.620117,5182.620117,5182.620117,5182.620117,0,5182.620117,"2000-02-29"
5235.140137,5235.140137,5235.140137,5235.140137,0,5235.140137,"2000-03-01"
5406.370117,5406.370117,5406.370117,5406.370117,0,5406.370117,"2000-03-02"
5450.220215,5450.220215,5450.220215,5450.220215,0,5450.220215,"2000-03-03"
5464.430176,5464.430176,5464.430176,5464.430176,0,5464.430176,"2000-03-06"
5426.359863,5426.359863,5426.359863,5426.359863,0,5426.359863,"2000-03-07"
5364.52002,5364.52002,5364.52002,5364.52002,0,5364.52002,"2000-03-08"
5352.879883,5352.879883,5352.879883,5352.879883,0,5352.879883,"2000-03-09"
5416.810059,5416.810059,5416.810059,5416.810059,0,5416.810059,"2000-03-10"
5254.410156,5254.410156,5254.410156,5254.410156,0,5254.410156,"2000-03-13"
5258.319824,5258.319824,5258.319824,5258.319824,0,5258.319824,"2000-03-14"
5083.149902,5083.149902,5083.149902,5083.149902,0,5083.149902,"2000-03-15"
5175.22998,5175.22998,5175.22998,5175.22998,0,5175.22998,"2000-03-16"
5231.350098,5231.350098,5231.350098,5231.350098,0,5231.350098,"2000-03-17"
