"GSPTSE.Open","GSPTSE.High","GSPTSE.Low","GSPTSE.Close","GSPTSE.Volume","GSPTSE.Adjusted","Date"
9301.400391,9314.5,9215.099609,9314.5,83054400,9314.5,"2000-02-14"
9338.900391,9414.5,9239.5,9356.099609,207400,9356.099609,"2000-02-15"
9295.599609,9496.099609,9295.599609,9428.599609,15764500,9428.599609,"2000-02-16"
9531,9557.599609,9460.900391,9463.5,18981100,9463.5,"2000-02-17"
9506.200195,9506.200195,9295.5,9295.5,93342900,9295.5,"2000-02-18"
9295.5,9295.5,9228.900391,9231.200195,1969100,9231.200195,"2000-02-21"
9287.599609,9296.799805,9149.200195,9194.900391,92223500,9194.900391,"2000-02-22"
9247.5,9336,9209.400391,9315,506100,9315,"2000-02-23"
9391.700195,9391.700195,9212.700195,9214.200195,11748100,9214.200195,"2000-02-24"
9193.700195,9232.700195,9133.200195,9141.200195,15763600,9141.200195,"2000-02-25"
9199.200195,9223.400391,9051.299805,9223.400391,81020900,9223.400391,"2000-02-28"
9338.400391,9338.400391,9129,9129,250100,9129,"2000-02-29"
9317.900391,9451.599609,9304.799805,9411.599609,11565000,9411.599609,"2000-03-01"
9446.900391,9542.400391,9446.900391,9516.099609,24775200,9516.099609,"2000-03-02"
9573.099609,9573.099609,9462.900391,9462.900391,4265100,9462.900391,"2000-03-03"
9521.099609,9633.5,9521.099609,9580.900391,20861000,9580.900391,"2000-03-06"
9595.700195,9662.099609,9394.200195,9425.5,78100000,9425.5,"2000-03-07"
9414.900391,9415.900391,9277.400391,9281.099609,6219800,9281.099609,"2000-03-08"
9330.299805,9413.700195,9282.900391,9413.700195,94323500,9413.700195,"2000-03-09"
9479.5,9554.700195,9478,9487.099609,80959900,9487.099609,"2000-03-10"
9292.099609,9500.799805,9292.099609,9461.599609,67158700,9461.599609,"2000-03-13"
9580,9580,9393.799805,9393.799805,41439400,9393.799805,"2000-03-14"
9392.299805,9392.299805,9191.900391,9293.599609,11607300,9293.599609,"2000-03-15"
9463.700195,9571.400391,9310.900391,9488,45561500,9488,"2000-03-16"
9597.700195,9708.5,9528.799805,9528.799805,16668200,9528.799805,"2000-03-17"
9689.200195,9707.900391,9550.599609,9568.299805,72540500,9568.299805,"2000-03-20"
9500,9669.799805,9430.700195,9651.400391,79842600,9651.400391,"2000-03-21"
9650.5,9881.700195,9620.700195,9871.599609,86292100,9871.599609,"2000-03-22"
9923.400391,10057.799805,9878,9990.099609,98117700,9990.099609,"2000-03-23"
10083.599609,10176.700195,10036.599609,10052.700195,78343400,10052.700195,"2000-03-24"
10063.299805,10117.900391,10036.099609,10043,70026800,10043,"2000-03-27"
10016.099609,10016.099609,9896.200195,9922.900391,84924700,9922.900391,"2000-03-28"
9868.700195,9868.700195,9656.299805,9702.200195,95764500,9702.200195,"2000-03-29"
9480.099609,9565.5,9280.5,9394,104258700,9394,"2000-03-30"
9535.099609,9635.5,9390.599609,9462.400391,91168200,9462.400391,"2000-03-31"
9520.700195,9520.700195,9350.799805,9374.700195,88763600,9374.700195,"2000-04-03"
9323.099609,9354.099609,8690.900391,9141.799805,145639000,9141.799805,"2000-04-04"
9075,9313.900391,8988.599609,9226.5,103086100,9226.5,"2000-04-05"
9390.5,9491.200195,9363.599609,9441.299805,95372800,9441.299805,"2000-04-06"
9584.599609,9640.099609,9465.200195,9465.200195,94350300,9465.200195,"2000-04-07"
9633,9633,9460.599609,9460.900391,98460400,9460.900391,"2000-04-10"
9259.700195,9456.299805,9259.700195,9358,92869800,9358,"2000-04-11"
9368.099609,9368.099609,9047.700195,9047.700195,107781000,9047.700195,"2000-04-12"
9003.700195,9150.900391,8965.299805,8965.400391,115704100,8965.400391,"2000-04-13"
8783.5,8874.400391,8421.599609,8473.5,110785100,8473.5,"2000-04-14"
8456.400391,8769.599609,8429.5,8769.599609,90662100,8769.599609,"2000-04-17"
8832.599609,9069.5,8832.599609,9069.5,103772600,9069.5,"2000-04-18"
9071.099609,9096.299805,8986.299805,9034,122858000,9034,"2000-04-19"
9039.799805,9039.799805,8900.599609,8959.700195,79798900,8959.700195,"2000-04-20"
NA,NA,NA,NA,NA,NA,"2000-04-21"
8834,8860.900391,8750.400391,8822.5,62880300,8822.5,"2000-04-24"
8939,9132.900391,8939,9108.400391,80736300,9108.400391,"2000-04-25"
9306.299805,9410.299805,9297.799805,9378,84542600,9378,"2000-04-26"
9253.599609,9379.099609,9253.200195,9322.700195,77824400,9322.700195,"2000-04-27"
9421.900391,9436.5,9344.400391,9347.599609,83834900,9347.599609,"2000-04-28"
9399.099609,9539.099609,9399.099609,9527.299805,78022500,9527.299805,"2000-05-01"
9486.299805,9554.400391,9482.099609,9510.299805,156475300,9510.299805,"2000-05-02"
9450.900391,9468.900391,9291.299805,9291.299805,127960700,9291.299805,"2000-05-03"
9343,9424.799805,9343,9414.099609,104224400,9414.099609,"2000-05-04"
9433.799805,9597.299805,9433.799805,9597.299805,72761100,9597.299805,"2000-05-05"
9459.5,9489.200195,9296.200195,9337.5,78901700,9337.5,"2000-05-08"
9377.5,9377.5,9237.700195,9294.400391,104781700,9294.400391,"2000-05-09"
9232.400391,9232.400391,9009.099609,9097.099609,112898800,9097.099609,"2000-05-10"
9152.299805,9172.799805,9097.700195,9132.599609,91343700,9132.599609,"2000-05-11"
9225.5,9290,9211.799805,9211.799805,78896600,9211.799805,"2000-05-12"
9239.5,9281.900391,9200.700195,9281.900391,93868200,9281.900391,"2000-05-15"
9418.299805,9582,9417.799805,9582,106636000,9582,"2000-05-16"
9513.799805,9579.799805,9418.200195,9552.799805,103663400,9552.799805,"2000-05-17"
9587.299805,9620.5,9530,9549.900391,109930800,9549.900391,"2000-05-18"
9503.900391,9503.900391,9286.099609,9293.099609,82539900,9293.099609,"2000-05-19"
9293.099609,9293.099609,9293.099609,9293.099609,0,9293.099609,"2000-05-22"
9247.599609,9247.599609,8986.599609,8986.599609,90133200,8986.599609,"2000-05-23"
8947,9156.799805,8807.400391,9144.200195,136697200,9144.200195,"2000-05-24"
9231.400391,9280.700195,9043.700195,9043.700195,115960100,9043.700195,"2000-05-25"
9108.299805,9108.299805,8991.799805,9020.900391,87709800,9020.900391,"2000-05-26"
9020.900391,9062.5,8999.900391,9060.099609,640800,9060.099609,"2000-05-29"
9163,9359,9163,9344.099609,98271200,9344.099609,"2000-05-30"
9329.799805,9407.299805,9252,9252,105450300,9252,"2000-05-31"
9397.900391,9552.200195,9397.900391,9552.200195,82953100,9552.200195,"2000-06-01"
9808.200195,9810.799805,9697.799805,9747.700195,115107900,9747.700195,"2000-06-02"
9719.900391,9749.299805,9644,9679.700195,94298900,9679.700195,"2000-06-05"
9629.700195,9678.400391,9579.200195,9609.900391,87553900,9609.900391,"2000-06-06"
9551.599609,9588,9512.5,9557.700195,89500000,9557.700195,"2000-06-07"
9586.599609,9654.799805,9555.599609,9652.400391,76997900,9652.400391,"2000-06-08"
9726.599609,9736.200195,9702.599609,9728.799805,77484900,9728.799805,"2000-06-09"
9835.099609,9835.099609,9767.400391,9819.599609,95570400,9819.599609,"2000-06-12"
9843.700195,9883.299805,9799.5,9836.5,117901600,9836.5,"2000-06-13"
9967.099609,10009.099609,9940.900391,9972.099609,93663700,9972.099609,"2000-06-14"
9977.299805,10110.599609,9977.299805,10110.599609,92129400,10110.599609,"2000-06-15"
10102.700195,10102.700195,10017.900391,10035.700195,88086800,10035.700195,"2000-06-16"
10039.299805,10154.900391,10039.299805,10136.799805,93227700,10136.799805,"2000-06-19"
10229.200195,10276.200195,10205.5,10239.900391,81230300,10239.900391,"2000-06-20"
10150.599609,10246.299805,10150.599609,10197.299805,84443300,10197.299805,"2000-06-21"
10191.400391,10220.200195,10029.900391,10064.5,83569000,10064.5,"2000-06-22"
10060.299805,10099.5,10010.200195,10091.099609,86055200,10091.099609,"2000-06-23"
